	опыт работы	регион	пол	возраст	образование	вуз	язык	занятость	желаемая з/п	Последнее место работы
303	11 years	Moscow	Male	33 years	Higher education	Московский автомобильно-дорожный государственный технический университет, Москва	Russian — Native English — C2 — Proficiency	Employment: full time, part time, project work	220 000 ₽ in hand	September 2015 — currently8 years 9 months
304	6 лет	Санкт-Петербург	Мужчина	36 лет	Высшее образование	Курганский государственный университет, Курган	Русский — Родной	Занятость: полная занятость	170 000 ₽ на руки	Февраль 2021 — по настоящее время3 года 4 месяца
305	17 лет	Семей	Мужчина	45 лет	Высшее образование (Бакалавр)	Семипалатинский государственный педагогический институт, Семей	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	400 000 ₸ на руки	Октябрь 2011 — по настоящее время12 лет 8 месяцев
306	16 лет	Санкт-Петербург	Мужчина	57 лет	Высшее образование	Санкт-Петербургский государственный политехнический университет, Санкт-Петербург	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	100 000 ₽ на руки	Декабрь 2007 — по настоящее время16 лет 6 месяцев
307	9 лет	Новосибирск	Мужчина	61 год	Высшее образование	Национальный исследовательский Томский государственный университет, Томск	Русский — Родной Английский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость, проектная работа	150 000 ₽ на руки	Июль 2014 — по настоящее время9 лет 11 месяцев
308	18 лет	Санкт-Петербург	Мужчина	54 года	Высшее образование (Магистр)	схш им иогансона спб	Русский — Родной Английский — C2 — В совершенстве Испанский — A1 — Начальный	Занятость: полная занятость	80 000 ₽ на руки	Январь 2012 — по настоящее время12 лет 5 месяцев
309	6 лет	Москва	Мужчина	27 лет	Высшее образование	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	300 000 ₽ на руки	Октябрь 2017 — по настоящее время6 лет 8 месяцев
310	7 месяцев	Красноярск	Мужчина	27 лет	Среднее специальное образование	Сибирский государственный аэрокосмический колледж им. академика М. Ф. Решетнева, Красноярск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	20 000 ₽ на руки	Декабрь 2016 — Июнь 20177 месяцев
311	9 лет	Москва	Мужчина	31 год	Образование		Казахский — Родной	Занятость: полная занятость	150 000 ₸ на руки	Май 2015 — по настоящее время9 лет 1 месяц
312	42 года	Москва	Мужчина	66 лет	Высшее образование	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	70 000 ₽ на руки	Январь 1982 — по настоящее время42 года 5 месяцев
313	4 years	Yekaterinburg	Male	23 years	Higher education (bachelor)	Thompson Rivers University	Russian — Native English — C2 — Proficiency Japanese — B2 — Upper Intermediate	Employment: full time, part time, project work	2 200 $ in hand	June 2021 — currently3 years
314	16 лет	Москва	Мужчина	56 лет	Образование	Stanford|Online	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	120 000 ₽ на руки	Март 2017 — по настоящее время7 лет 3 месяца
315	16 лет	Ижевск	Мужчина	34 года	Неоконченное высшее образование	Глазовский Государственный Педагогический Институт им. В.Г. Короленко (заочное)	Английский — A1 — Начальный	Занятость: полная занятость	15 000 ₽ на руки	Сентябрь 2009 — по настоящее время14 лет 9 месяцев
316	13 лет	Жуковский	Мужчина	34 года	Высшее образование	"""Стрела"" (филиал) Московского авиационного института (национального исследовательского университета), Жуковский"	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	70 000 ₽ на руки	Март 2011 — по настоящее время13 лет 3 месяца
317	17 лет	Санкт-Петербург	Мужчина	36 лет	Высшее образование	Кемеровский Государственный Университет	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	300 000 ₽ на руки	Май 2023 — по настоящее время1 год 1 месяц
318	17 лет	Воронеж	Мужчина		Высшее образование	Воронежский Государственный Университет	Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый	Занятость: полная занятость	30 000 ₽ на руки	Ноябрь 2007 — по настоящее время16 лет 7 месяцев
319	24 года	Москва	Мужчина	49 лет	Высшее образование	Рязанский государственный радиотехнический университет, Рязань	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость	300 000 ₽ на руки	Февраль 2005 — по настоящее время19 лет 4 месяца
320	26 лет	Россия	Мужчина	67 лет	Высшее образование	Томский политехнический	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	1 000 $ на руки	Январь 2015 — по настоящее время9 лет 5 месяцев
321	5 лет	Пермь	Женщина	26 лет	Высшее образование	ПГНИУ	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость	80 000 ₽ на руки	Ноябрь 2022 — по настоящее время1 год 7 месяцев
322	3 года	Москва	Мужчина	25 лет	Высшее образование (Магистр)	Московский авиационный институт (национальный исследовательский университет), Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	180 000 ₽ на руки	Сентябрь 2020 — по настоящее время3 года 9 месяцев
323	10 лет	Челябинск	Мужчина	37 лет	Среднее специальное образование	Челябинский экономический колледж, Челябинск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	100 000 ₽ на руки	Декабрь 2019 — по настоящее время4 года 6 месяцев
324	2 года	Москва	Мужчина	26 лет	Высшее образование (Бакалавр)	Российский химико-технологический университет им. Д.И. Менделеева, Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	100 000 ₽ на руки	Август 2021 — по настоящее время2 года 10 месяцев
325	7 лет	Москва	Мужчина	30 лет	Неоконченное высшее образование	"Филиал Компьютерной академии ""ШАГ"", Киев"	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	45 000 ₽ на руки	Январь 2019 — по настоящее время5 лет 5 месяцев
326	10 лет	Томск	Мужчина	31 год	Высшее образование (Магистр)	Томский государственный университет систем управления и радиоэлектроники, Томск	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	60 000 ₽ на руки	Октябрь 2017 — по настоящее время6 лет 8 месяцев
327	2 года	Смоленск	Мужчина	58 лет	Высшее образование	St.Petersburg Uni	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	50 000 ₽ на руки	Февраль 2008 — Октябрь 20091 год 9 месяцев
328	19 лет	Стерлитамак	Мужчина	44 года	Высшее образование (Кандидат наук)	Стерлитамакская государственная педагогическая академия им. З. Биишевой, Стерлитамак	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	35 000 ₽ на руки	Апрель 2012 — по настоящее время12 лет 2 месяца
329	12 лет	Санкт-Петербург	Мужчина	43 года	Высшее образование	Азербайджанский Технологический Университет	Русский — Родной Английский — C1 — Продвинутый Турецкий — C2 — В совершенстве	Занятость: полная занятость, частичная занятость	150 000 ₽ на руки	Октябрь 2011 — по настоящее время12 лет 8 месяцев
330	5 лет	Екатеринбург	Мужчина	37 лет	Среднее специальное образование	Миасский Электромеханический техникум	Русский — Родной Китайский — A2 — Элементарный	Занятость: частичная занятость	80 000 ₽ на руки	Январь 2019 — по настоящее время5 лет 5 месяцев
331	11 лет	Москва	Мужчина	29 лет	Образование		Русский — Родной	Занятость: полная занятость, частичная занятость	150 000 ₽ на руки	Ноябрь 2017 — по настоящее время6 лет 7 месяцев
332	2 года	Москва	Женщина	23 года	Высшее образование (Бакалавр)	НИЯУ МИФИ	Русский — Родной Английский — B1 — Средний Японский — A1 — Начальный	Занятость: полная занятость	150 000 ₽ на руки	Август 2021 — по настоящее время2 года 10 месяцев
333	6 лет	Петрозаводск	Мужчина	24 года	Неоконченное высшее образование	Петрозаводский государственный университет, Петрозаводск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	40 000 ₽ на руки	Январь 2018 — по настоящее время6 лет 5 месяцев
334	4 года	Красногорск	Мужчина	36 лет	Высшее образование	SkillBox	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость	50 000 ₽ на руки	Май 2020 — по настоящее время4 года 1 месяц
335	9 лет	Пермь	Мужчина	30 лет	Среднее специальное образование	Пермский авиационный техникум им. А.Д. Швецова	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	90 000 ₽ на руки	Июнь 2021 — по настоящее время3 года
336	29 лет	Томск	Мужчина	64 года	Высшее образование	Томский институт автоматизированных систем управления и радиоэлектроники	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	2 000 $ на руки	Ноябрь 1994 — по настоящее время29 лет 7 месяцев
337	14 лет	Москва	Мужчина	37 лет	Высшее образование	Самарский государственный технический университет, Самара	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	150 000 ₽ на руки	Март 2013 — по настоящее время11 лет 3 месяца
338	23 года	Балашиха	Мужчина	48 лет	Высшее образование	Чувашский государственный университет им. И.Н. Ульянова, Чебоксары	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость	100 000 ₽ на руки	Сентябрь 2018 — по настоящее время5 лет 9 месяцев
339	3 года	Санкт-Петербург	Мужчина	27 лет	Высшее образование (Бакалавр)	Санкт-Петербургский государственный университет, Санкт-Петербург	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	3 000 $ на руки	Декабрь 2020 — по настоящее время3 года 6 месяцев
340	4 года	Москва	Мужчина	27 лет	Неоконченное высшее образование	Санкт-Петербургский государственный архитектурно-строительный университет, Санкт-Петербург	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	150 000 ₽ на руки	Апрель 2021 — по настоящее время3 года 2 месяца
341	11 лет	Москва	Женщина	31 год	Высшее образование	Московский государственный университет печати им. И. Федорова, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость	35 000 ₽ на руки	Январь 2013 — по настоящее время11 лет 5 месяцев
342	8 лет	Нижний Новгород	Мужчина	29 лет	Среднее специальное образование	НАТК	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	40 000 ₽ на руки	Март 2016 — по настоящее время8 лет 3 месяца
343	13 лет	Москва	Мужчина	52 года	Высшее образование	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость, проектная работа	80 000 ₽ на руки	Июнь 2011 — по настоящее время13 лет
344	13 лет	Санкт-Петербург	Мужчина	36 лет	Высшее образование	Национальный исследовательский Томский политехнический университет, Томск	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	420 000 ₽ на руки	Май 2020 — по настоящее время4 года 1 месяц
345	21 год	Ростов-на-Дону	Мужчина	41 год	Высшее образование	Ростовский государственный университет путей сообщения, Ростов-на-Дону	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	50 000 ₽ на руки	Май 2007 — по настоящее время17 лет 1 месяц
346	1 год	Краснодар	Мужчина	44 года	Неоконченное высшее образование	ТРТУ	Русский — Родной	Занятость: полная занятость	20 000 ₽ на руки	Март 2009 — Май 20101 год 3 месяца
347	7 лет	Челябинск	Мужчина	20 лет	Образование		Русский — Родной Английский — A1 — Начальный	Занятость: частичная занятость, проектная работа, стажировка	400 $ на руки	Июнь 2017 — по настоящее время7 лет
348	8 лет	Ульяновск	Мужчина	30 лет	Высшее образование	Ульяновский государственный технический университет, Ульяновск	Русский — Родной Английский — B2 — Средне-продвинутый Испанский — A1 — Начальный Немецкий — A1 — Начальный	Занятость: полная занятость	350 000 ₽ на руки	Август 2020 — по настоящее время3 года 10 месяцев
349	14 лет	Москва	Мужчина	44 года	Высшее образование	Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород	Русский — Родной	Занятость: полная занятость, частичная занятость, проектная работа	60 000 ₽ на руки	Январь 2010 — по настоящее время14 лет 5 месяцев
350	27 лет	Омск	Мужчина	50 лет	Высшее образование	Центр дополнительного образования ГАРАНТ	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	170 000 ₽ на руки	Март 2021 — по настоящее время3 года 3 месяца
351	9 лет	Москва	Мужчина	60 лет	Высшее образование	Минский радиотехнический колледж	Русский — Родной	Занятость: полная занятость	70 000 ₽ на руки	Январь 2008 — Октябрь 20102 года 10 месяцев
352	6 лет	Химки	Мужчина	34 года	Образование	JavaScript с нуля до профи	Русский — Родной	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	70 000 ₽ на руки	Май 2018 — по настоящее время6 лет 1 месяц
353	8 лет	Санкт-Петербург	Мужчина	33 года	Высшее образование (Магистр)	Санкт-Петербургский государственный политехнический университет, Санкт-Петербург	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	120 000 ₽ на руки	Декабрь 2021 — Июль 20228 месяцев
354	13 лет	Волгоград	Мужчина	36 лет	Высшее образование (Магистр)	Волгоградский государственный технический университет, Волгоград	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	100 000 ₽ на руки	Август 2018 — по настоящее время5 лет 10 месяцев
355	12 лет	Санкт-Петербург	Мужчина		Высшее образование (Бакалавр)	Севастопольский национальный технический университет, Севастополь	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	200 000 ₽ на руки	Апрель 2024 — по настоящее время2 месяца
356	12 лет	Иркутск	Мужчина	36 лет	Высшее образование (Бакалавр)	Магнитогорский государственный технический университет им. Г.И. Носова, Магнитогорск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	200 000 ₽ на руки	Июль 2019 — по настоящее время4 года 11 месяцев
357	20 years	Omsk	Male	41 year	Higher education	Омский государственный университет им. Ф.М. Достоевского, Омск	Russian — Native English — C1 — Advanced	Employment: full time, part time	5 000 € in hand	February 2021 — currently3 years 4 months
358	2 года	Москва	Мужчина	24 года	Высшее образование	"Национальный исследовательский ядерный университет ""МИФИ"", Москва"	Русский — Родной Английский — B2 — Средне-продвинутый Немецкий — A1 — Начальный	Занятость: полная занятость	250 000 ₽ на руки	Июль 2022 — по настоящее время1 год 11 месяцев
359	10 лет	Самара	Мужчина	31 год	Высшее образование	УрГПУ	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, стажировка	40 000 ₽ на руки	Январь 2014 — по настоящее время10 лет 5 месяцев
360	5 лет	Хабаровск	Мужчина	27 лет	Высшее образование	Комсомольский-на-Амуре государственный технический университет, Комсомольск-на-Амуре	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость	80 000 ₽ на руки	Январь 2019 — по настоящее время5 лет 5 месяцев
361	31 год	Череповец	Женщина	51 год	Высшее образование	Череповецкий государственный университет (бывш ЧГПИ, ЧГИИ), Череповец	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость, проектная работа	160 000 ₽ на руки	Сентябрь 2017 — по настоящее время6 лет 9 месяцев
362	19 лет	Магнитогорск	Мужчина	51 год	Высшее образование	Мгту	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	28 000 ₽ на руки	Январь 1997 — Декабрь 201519 лет
363	21 год	Асбест	Женщина	39 лет	Высшее образование	Уральский государственный технический университет им. Б.Н. Ельцина, Екатеринбург	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	30 000 ₽ на руки	Июнь 2003 — по настоящее время21 год
364	38 years	Moscow	Male	64 years	Higher education (bachelor)	Moscow Institute of Physics and Technology (State University), Moscow,https://mipt.ru/english/about/	Russian — Native English — B2 — Upper Intermediate	Employment: full time	200 000 ₽ in hand	April 2017 — October 20236 years 7 months
365	2 месяца	Владимир	Мужчина	32 года	Среднее специальное образование	ВАМК	Английский — A1 — Начальный	Занятость: полная занятость	15 000 ₽ на руки	Август 2009 — Сентябрь 20092 месяца
366	16 лет	Калуга	Мужчина	30 лет	Высшее образование (Бакалавр)	Филиал Московского государственного технического университета им. Н.Э. Баумана, Калуга	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	180 000 ₽ на руки	Январь 2018 — по настоящее время6 лет 5 месяцев
367	6 лет	Пермь	Мужчина		Высшее образование	Пермский национальный исследовательский политехнический университет, Пермь	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	150 000 ₽ на руки	Март 2022 — по настоящее время2 года 3 месяца
368	17 лет	Иркутск	Мужчина	40 лет	Высшее образование	Иркутский государственный университет путей сообщения, Иркутск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	60 000 ₽ на руки	Август 2018 — по настоящее время5 лет 10 месяцев
369	12 лет	Санкт-Петербург	Женщина	41 год	Высшее образование	Белгородский университет потребительской кооперации	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: проектная работа	25 000 ₽ на руки	Апрель 2012 — по настоящее время12 лет 2 месяца
370	10 лет	Белгород	Мужчина	41 год	Высшее образование	Белгородский государственный технологический университет им. В.Г. Шухова, Белгород	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	35 000 ₽ на руки	Март 2007 — Июль 20147 лет 5 месяцев
371	8 лет	Москва	Мужчина	39 лет	Высшее образование	Национальный исследовательский Томский политехнический университет, Томск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	350 000 ₽ на руки	Январь 2016 — по настоящее время8 лет 5 месяцев
372	8 лет	Иннополис	Мужчина	26 лет	Высшее образование (Бакалавр)	Университет Иннополис	Русский — Родной Английский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость	60 000 ₽ на руки	Март 2017 — по настоящее время7 лет 3 месяца
373	16 лет	Якутск	Мужчина	42 года	Высшее образование	Северо-Восточный федеральный университет им. М.К. Аммосова, Якутск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	150 000 ₽ на руки	Май 2008 — по настоящее время16 лет 1 месяц
374	4 года	Ставрополь	Мужчина	27 лет	Неоконченное высшее образование	Ставропольский Колледж Связи	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	100 000 ₽ на руки	Апрель 2021 — по настоящее время3 года 2 месяца
375	18 лет	Москва	Мужчина	44 года	Высшее образование	Университет национального и мирового хозяйства, г. София	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	180 000 ₽ на руки	Сентябрь 2017 — Апрель 20191 год 8 месяцев
376	37 лет	Липецк	Мужчина	63 года	Высшее образование (Кандидат наук)	Московский государственный университет им. М.В. Ломоносова, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	160 000 ₽ на руки	Февраль 1992 — по настоящее время32 года 4 месяца
377	11 лет	Санкт-Петербург	Мужчина	36 лет	Неоконченное высшее образование	БГТУ ВОЕНМЕХ	Английский — B2 — Средне-продвинутый	Занятость: частичная занятость, проектная работа	120 000 ₽ на руки	Ноябрь 2016 — по настоящее время7 лет 7 месяцев
378	8 лет	Санкт-Петербург	Мужчина		Высшее образование	Санкт-Петербургский государственный университет, Санкт-Петербург	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	50 000 ₽ на руки	Сентябрь 2015 — по настоящее время8 лет 9 месяцев
379	5 лет	Нижний Новгород	Мужчина	26 лет	Среднее специальное образование	Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород	Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка	120 000 ₽ на руки	Июль 2019 — по настоящее время4 года 11 месяцев
380	6 лет	Москва	Мужчина	55 лет	Неоконченное высшее образование	МГУ им. М. В. Ломоносова	Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый	Занятость: полная занятость	40 000 ₽ на руки	Январь 2007 — Сентябрь 20079 месяцев
381	16 лет	Севастополь	Мужчина	34 года	Среднее специальное образование	СИПК	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	20 000 ₽ на руки	Май 2010 — по настоящее время14 лет 1 месяц
382	9 лет	Москва	Мужчина	31 год	Неоконченное высшее образование	Самарский государственный университет путей сообщения, Самара	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	100 000 ₽ на руки	Октябрь 2017 — по настоящее время6 лет 8 месяцев
383	4 года	Санкт-Петербург	Мужчина	24 года	Среднее специальное образование	Технический колледж коммерции и управления	Русский — Родной	Занятость: полная занятость	110 000 ₽ на руки	Декабрь 2019 — по настоящее время4 года 6 месяцев
384	13 лет	Новосибирск	Мужчина	31 год	Высшее образование (Бакалавр)	НГУЭУ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	15 000 ₽ на руки	Февраль 2011 — по настоящее время13 лет 4 месяца
385	9 лет	Каменское	Мужчина	36 лет	Высшее образование (Магистр)	Днепродзержинский государственный технический университет, Днепродзержинск	Русский — Родной Английский — B2 — Средне-продвинутый Украинский — C2 — В совершенстве	Занятость: полная занятость	100 000 ₽ на руки	Январь 2016 — по настоящее время8 лет 5 месяцев
386	1 год	Москва	Мужчина	36 лет	Неоконченное высшее образование	Московский Государственный Университет Путей Сообщения (МИИТ)	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	45 000 ₽ на руки	Апрель 2008 — Июнь 20091 год 3 месяца
387	14 лет	Тюмень	Мужчина	35 лет	Высшее образование	Тюменский индустриальный университет, г.Тюмень	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, стажировка	100 000 ₽ на руки	Январь 2024 — по настоящее время5 месяцев
388	4 года	Челябинск	Мужчина	25 лет	Неоконченное высшее образование	Курганский государственный университет, Курган	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость	50 000 ₽ на руки	Ноябрь 2022 — Июль 20239 месяцев
389	8 лет	Долгопрудный	Мужчина	31 год	Высшее образование (Магистр)	Московский физико-технический институт (Государственный университет), Москва	Английский — Родной Русский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	200 000 ₽ на руки	Апрель 2020 — по настоящее время4 года 2 месяца
390	9 лет	Рязань	Мужчина	33 года	Высшее образование	Рязанский государственный радиотехнический университет, Рязань	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость	250 000 ₽ на руки	Январь 2019 — по настоящее время5 лет 5 месяцев
391	18 лет	Москва	Мужчина	40 лет	Высшее образование	"НГТУ (Нижегородский государственный технический университет; ВПИ; НПИ; НГУ; ГИИ; ГПИ)	Нижний Новгород"	Русский — Родной	Занятость: полная занятость	30 000 ₽ на руки	Январь 2006 — по настоящее время18 лет 5 месяцев
392	2 года	Ивантеевка	Мужчина	34 года	Высшее образование	РГУ им. А.Н. Косыгина	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	120 000 ₽ на руки	Январь 2024 — по настоящее время5 месяцев
393	4 года	Самара	Мужчина	49 лет	Высшее образование	Самарский государственный технический университет, филиал в г. Сызрань	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	120 000 ₽ на руки	Август 2019 — по настоящее время4 года 10 месяцев
394	3 года	Москва	Мужчина	34 года	Среднее специальное образование	МКУиНТ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	30 000 ₽ на руки	Июнь 2017 — Октябрь 20175 месяцев
395	9 лет	Барнаул	Женщина	32 года	Высшее образование	Алтайский государственный технический университет им. И.И. Ползунова, Барнаул	Русский — Родной Английский — B2 — Средне-продвинутый Испанский — A1 — Начальный	Занятость: полная занятость, частичная занятость, стажировка	35 000 ₽ на руки	Февраль 2016 — по настоящее время8 лет 4 месяца
396	1 год	Москва	Мужчина	29 лет	Неоконченное высшее образование	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной	Занятость: полная занятость, частичная занятость, стажировка	160 000 ₽ на руки	Март 2022 — Август 20226 месяцев
397	18 лет	Саратов	Мужчина	42 года	Высшее образование (Кандидат наук)	Саратовский государственный университет	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	90 000 ₽ на руки	Сентябрь 2022 — Июнь 202310 месяцев
